benchmark,label_id,class_name,group,n_real,n_generated,ce,bsce,ours
K100-LT,0,canoeing or kayaking,head,990,0,1.0,0.98,0.98
K100-LT,1,hammer throw,head,879,111,0.94,0.82,0.86
K100-LT,2,punching bag,head,845,145,0.96,0.92,0.96
K100-LT,3,gymnastics tumbling,head,738,252,0.9591836734693877,0.8571428571428571,0.7755102040816326
K100-LT,4,cheerleading,head,724,266,0.9387755102040817,0.8775510204081632,0.8775510204081632
K100-LT,5,rock climbing,head,696,294,0.94,0.94,0.92
K100-LT,6,skiing (not slalom or crosscountry),head,622,368,0.9183673469387755,0.6326530612244898,0.6326530612244898
K100-LT,7,playing trombone,head,536,454,0.9183673469387755,0.8163265306122449,0.8571428571428571
K100-LT,8,playing violin,head,526,464,0.88,0.86,0.92
K100-LT,9,playing tennis,head,463,527,0.9591836734693877,0.9591836734693877,0.9387755102040817
K100-LT,10,pull ups,head,408,582,1.0,0.98,1.0
K100-LT,11,bench pressing,tail,401,589,1.0,0.96,0.96
K100-LT,12,throwing discus,tail,355,635,0.62,0.84,0.76
K100-LT,13,capoeira,tail,349,641,0.82,0.78,0.78
K100-LT,14,bowling,tail,309,681,0.8775510204081632,0.8775510204081632,0.8775510204081632
K100-LT,15,swimming backstroke,tail,304,686,0.96,0.9,0.8
K100-LT,16,driving car,tail,265,725,0.9583333333333334,0.8958333333333334,0.8958333333333334
K100-LT,17,belly dancing,tail,240,750,0.8571428571428571,0.8775510204081632,0.8775510204081632
K100-LT,18,ski jumping,tail,236,754,0.6,0.66,0.74
K100-LT,19,smoking,tail,232,758,0.7755102040816326,0.6122448979591837,0.6122448979591837
K100-LT,20,country line dancing,tail,214,776,0.96,0.9,0.92
K100-LT,21,pumping fist,tail,204,786,0.7,0.74,0.68
K100-LT,22,side kick,tail,188,802,0.78,0.76,0.76
K100-LT,23,somersaulting,tail,182,808,0.54,0.48,0.52
K100-LT,24,pole vault,tail,179,811,0.9,0.96,0.96
K100-LT,25,milking cow,tail,174,816,0.9791666666666666,0.9375,0.8958333333333334
K100-LT,26,roller skating,tail,158,832,0.88,0.88,0.92
K100-LT,27,breakdancing,tail,149,841,0.6,0.54,0.72
K100-LT,28,tap dancing,tail,144,846,0.6530612244897959,0.7551020408163265,0.7959183673469388
K100-LT,29,shaving head,tail,140,850,0.76,0.8,0.82
K100-LT,30,snowboarding,tail,134,856,0.1276595744680851,0.5319148936170213,0.7872340425531915
K100-LT,31,playing accordion,tail,132,858,0.8571428571428571,0.8571428571428571,0.8775510204081632
K100-LT,32,dribbling basketball,tail,124,866,0.9,0.92,0.94
K100-LT,33,playing ice hockey,tail,110,880,0.8367346938775511,0.9591836734693877,0.8775510204081632
K100-LT,34,clean and jerk,tail,105,885,1.0,0.9795918367346939,0.9795918367346939
K100-LT,35,playing drums,tail,102,888,0.9183673469387755,0.9387755102040817,0.9183673469387755
K100-LT,36,robot dancing,tail,98,892,0.3,0.26,0.36
K100-LT,37,cleaning floor,tail,87,903,0.5306122448979592,0.4897959183673469,0.5102040816326531
K100-LT,38,opening present,tail,83,907,0.78,0.76,0.92
K100-LT,39,busking,tail,80,910,0.66,0.76,0.8
K100-LT,40,catching or throwing softball,tail,78,912,0.5,0.6,0.68
K100-LT,41,tying knot (not on a tie),tail,69,921,0.86,0.82,0.9
K100-LT,42,kicking field goal,tail,67,923,0.82,0.82,0.84
K100-LT,43,stretching leg,tail,62,928,0.74,0.7,0.7
K100-LT,44,high kick,tail,61,929,0.12,0.2,0.18
