benchmark,label_id,class_name,group,n_real,n_generated,ce,bsce,ours
K100-LT,0,canoeing or kayaking,head,990,0,,,
K100-LT,1,hammer throw,head,879,111,,,
K100-LT,2,punching bag,head,845,145,,,
K100-LT,3,gymnastics tumbling,head,738,252,,,
K100-LT,4,cheerleading,head,724,266,,,
K100-LT,5,rock climbing,head,696,294,,,
K100-LT,6,skiing (not slalom or crosscountry),head,622,368,,,
K100-LT,7,playing trombone,head,536,454,,,
K100-LT,8,playing violin,head,526,464,,,
K100-LT,9,playing tennis,head,463,527,,,
K100-LT,10,pull ups,head,408,582,,,
K100-LT,11,bench pressing,tail,401,589,,,
K100-LT,12,throwing discus,tail,355,635,,,
K100-LT,13,capoeira,tail,349,641,,,
K100-LT,14,bowling,tail,309,681,,,
K100-LT,15,swimming backstroke,tail,304,686,,,
K100-LT,16,driving car,tail,265,725,,,
K100-LT,17,belly dancing,tail,240,750,,,
K100-LT,18,ski jumping,tail,236,754,,,
K100-LT,19,smoking,tail,232,758,,,
K100-LT,20,country line dancing,tail,214,776,,,
K100-LT,21,pumping fist,tail,204,786,,,
K100-LT,22,side kick,tail,188,802,,,
K100-LT,23,somersaulting,tail,182,808,,,
K100-LT,24,pole vault,tail,179,811,,,
K100-LT,25,milking cow,tail,174,816,,,
K100-LT,26,roller skating,tail,158,832,,,
K100-LT,27,breakdancing,tail,149,841,,,
K100-LT,28,tap dancing,tail,144,846,,,
K100-LT,29,shaving head,tail,140,850,,,
K100-LT,30,snowboarding,tail,134,856,,,
K100-LT,31,playing accordion,tail,132,858,,,
K100-LT,32,dribbling basketball,tail,124,866,,,
K100-LT,33,playing ice hockey,tail,110,880,,,
K100-LT,34,clean and jerk,tail,105,885,,,
K100-LT,35,playing drums,tail,102,888,,,
K100-LT,36,robot dancing,tail,98,892,,,
K100-LT,37,cleaning floor,tail,87,903,,,
K100-LT,38,opening present,tail,83,907,,,
K100-LT,39,busking,tail,80,910,,,
K100-LT,40,catching or throwing softball,tail,78,912,,,
K100-LT,41,tying knot (not on a tie),tail,69,921,,,
K100-LT,42,kicking field goal,tail,67,923,,,
K100-LT,43,stretching leg,tail,62,928,,,
K100-LT,44,high kick,tail,61,929,,,
K100-LT,45,shuffling cards,tail,60,930,,,
K100-LT,46,kitesurfing,tail,56,934,,,
K100-LT,47,playing didgeridoo,tail,53,937,,,
K100-LT,48,sled dog racing,tail,50,940,,,
K100-LT,49,parasailing,tail,49,941,,,
K100-LT,50,catching or throwing baseball,tail,45,945,,,
K100-LT,51,cutting watermelon,tail,43,947,,,
K100-LT,52,weaving basket,tail,41,949,,,
K100-LT,53,playing cards,tail,39,951,,,
K100-LT,54,writing,tail,37,953,,,
K100-LT,55,drop kicking,tail,36,954,,,
K100-LT,56,playing keyboard,tail,35,955,,,
K100-LT,57,changing oil,tail,33,957,,,
K100-LT,58,cleaning shoes,tail,30,960,,,
K100-LT,59,bouncing on trampoline,tail,29,961,,,
K100-LT,60,swimming butterfly stroke,tail,28,962,,,
K100-LT,61,folding clothes,tail,27,963,,,
K100-LT,62,jumpstyle dancing,tail,25,965,,,
